2n4w, 127.0.0.2, 0, 0, 53771, 270, 
2n4w, 127.0.0.3, 1, 0, 52643, 367, 
2n4w, 127.0.0.4, 1, 1, 51429, 364, 
2n4w, 127.0.0.5, 2, 0, 1796, 363, 
Host,,,,,,72915,1746
2n4w, 127.0.0.2, 0, 0, 9258, 294, 
2n4w, 127.0.0.3, 1, 0, 3715, 382, 
2n4w, 127.0.0.4, 1, 1, 2593, 372, 
2n4w, 127.0.0.5, 2, 0, 1823, 377, 
Host,,,,,,16403,1762
2n4w, 127.0.0.3, 0, 0, 5850, 2229, 
2n4w, 127.0.0.2, 1, 0, 165010, 161571, 
2n4w, 127.0.0.4, 1, 1, 30053, 27497, 
2n4w, 127.0.0.5, 2, 0, 163012, 161558, 
Host,,,,,,169367,162957
2n4w, 127.0.0.2, 0, 0, 9992, 2354, 
2n4w, 127.0.0.3, 1, 0, 160488, 155296, 
2n4w, 127.0.0.4, 1, 1, 33072, 30371, 
2n4w, 127.0.0.5, 2, 0, 156660, 155284, 
Host,,,,,,168566,156608
2n4w, 127.0.0.2, 0, 0, 10537, 2285, 
2n4w, 127.0.0.3, 1, 0, 88196, 82883, 
2n4w, 127.0.0.4, 1, 1, 17849, 15003, 
2n4w, 127.0.0.5, 2, 0, 84277, 82863, 
Host,,,,,,98421,84209
2n4w, 127.0.0.2, 0, 0, 10755, 2174, 
2n4w, 127.0.0.3, 1, 0, 70839, 65541, 
2n4w, 127.0.0.4, 1, 1, 13553, 10937, 
2n4w, 127.0.0.5, 2, 0, 66917, 65530, 
Host,,,,,,80254,66853
2n4w, 127.0.0.2, 0, 0, 11423, 2171, 
2n4w, 127.0.0.3, 1, 0, 47172, 40614, 
2n4w, 127.0.0.5, 1, 1, 11526, 8418, 
2n4w, 127.0.0.4, 2, 0, 41994, 40611, 
Host,,,,,,55950,41954
2n4w, 127.0.0.2, 0, 0, 7208, 2450, 
2n4w, 127.0.0.3, 1, 0, 61522, 57290, 
2n4w, 127.0.0.4, 1, 1, 11986, 9359, 
2n4w, 127.0.0.5, 2, 0, 58716, 57289, 
Host,,,,,,66197,58657
2n4w, 127.0.0.2, 0, 0, 9016, 2668, 
2n4w, 127.0.0.3, 1, 0, 55153, 51626, 
2n4w, 127.0.0.4, 1, 1, 11570, 9063, 
2n4w, 127.0.0.5, 2, 0, 53035, 51619, 
Host,,,,,,64306,52982
